Scenario,Category,Subcategory,Response,More Information,Source
I think someone skimmed my debit card at my local RA,Fraudlent Card Activity,,"Unfortunately, Rite Aid does not have a process in place to handle fraudulent activity on a credit /debit card. It is the bank's responsibility to dispute the charges, handle the investigation, and credit the account with the funds in question.",,Front EndStore Service
What is the Rite Aid beauty guarantee?,Returns,,"Any opened or used beauty product of any brand name that you purchase in-store or online can be returned for a full refund when accompanied by a receipt. Our risk-free beauty guarantee applies to all of these categories: skin care/depilatories, sun care, bath/soap, hair care (shampoo, conditioner, styling and professional), hair color, cosmetics, ethnic beauty aids, fragrances, cosmetic organizers, and personal care appliances. For more information, please visit: https://www.riteaid.com/coupons/money-back-beauty-guarantee",,Front EndStore Service
I'm missing three pills! ,Prescriptions,,"We appreciate you bringing this to our attention. Can you please PM/DM us your full name, contact details, and the exact location of the pharmacy you visited? We would like to have someone from the appropriate internal team follow up with you about this.",,RxPharmacy Service
I was given the wrong script! This is totally wrong!,Prescriptions,,"We appreciate you bringing this to our attention. We take concerns regarding prescriptions very seriously. Please PM/DM us your full name, contact details, and the exact location of the pharmacy you visited. We would like to have someone from the appropriate internal team follow up with you directly about this.",,RxPharmacy Service
My pill looks different. Was I given the wrong med?,Prescriptions,,"We appreciate you bringing this to our attention. Can you please PM/DM us your full name, contact details, the exact location of the pharmacy you visited? We would like to havesomeone from the appropriate internal team follow up with you.",,RxPharmacy Service
I have an issue with my prescription (General),Prescriptions,,"We're sorry that there is an issue with your prescription. Please PM/DM us with your name, contact details, and any details you feel comfortable sharing so we can look into this further for you.",,RxPharmacy Service
"Once again, my prescription was not ready when they said it would be!",Prescriptions,,We're sorry to hear that your prescription wasn't ready. Can you please share the store location you visited?,,RxPharmacy Service
The lines at the pharmacy are always so long!,Service,,We're sorry you experienced a long wait at your local pharmacy. Can you please PM/DM us the location of the store you visited? Thank you!,,RxPharmacy Service
"So frustrated, Rite Aid was open, but not the pharmacy.",Hours,,We apologize for the inconvenience. Which location did you visit?,,RxPharmacy Service
The Pharmacist was so rude! Never going back! (General),Associate,,"We're sorry to hear that you had a poor experience at your local pharmacy. Could you please PM/DM us your full name, contact details, and the location of the store you visited?",,RxPharmacy Service
The pharmacist yelled out my prescription and name so everyone in the pharmacy heard!,Prescriptions,,"We appreciate you bringing this to our attention, and we apologize for the poor experience. We take concerns like this very seriously. Could you please PM/DM us your full name, contact details, and the exact store location? We would like to have someone from the appropriate internal team  follow up with you directly abou this.",,RxPharmacy Service
Can I get a vaccination at my Rite Aid?,Vaccines,,"Unfortunately we don't have information on vaccine availability through social. We would recommend speaking with your local Rite Aid Pharmacist. To locate your nearest store, please visit our Store Locator: https://www.riteaid.com/locations/search.html",,RxPharmacy Service
How much are vaccinations?,Vaccines,,"Unfortunately we don't have information on vaccine pricing available through social. We would recommend speaking with your local Rite Aid Pharmacist. To locate your nearest store, please visit our Store Locator: https://www.riteaid.com/locations/search.html",,RxPharmacy Service
How much does the flu vaccine cost?,Vaccines,,Prices will vary depending on the type of flu vaccine you receive. The standard flu vaccine costs $45.99. Thank you!,,RxPharmacy Service
Which vaccines do you offer?,Vaccines,,"For more infomation on vaccines, please visit: https://www.riteaid.com/pharmacy/services/vaccine-central",,RxPharmacy Service
I don't have access to a computer to book an appointment/I can't book an appointment online,Vaccines,,"We absolutely understand your frustration! If you don't have access to a computer or are otherwise unable to book an appointment online, you can contact 1-800-RITE-AID (1-800-748-3243) for help booking a vax appointment.","We want them to try and book an appointment online rather than call the Customer Care Center, so if they have technical issues, make sure to suggest the usual fixes (clearing cache, try using a desktop rather than phone app, etc.) This should be a last resort.",RxPharmacy Service
How do I transfer my prescription to another Rite Aid (or another pharmacy chain)?,Prescriptions,,It's simple! All you need to do is speak to the Pharmacist at your usual Rite Aid location and request that they transfer your prescriptions to the secondary location of your choice.,,RxPharmacy Service
Can I return an unused prescription to Rite Aid?,Prescriptions,,"Most states prohibit the return of prescription medications once they have left the pharmacy.  However, specific state regulations may vary.  Please contact your local Rite Aid pharmacy for further assistance.",,RxPharmacy Service
How do I un-enroll from automated refills?,Prescriptions,,"In order to remove a prescription from the automatic refill program, you will need to contact your local Rite Aid store. The staff can access your prescription profile information and update the program.",,RxPharmacy Service
Cx Wants Info On A Current Prescription,Prescriptions,,"Unfortunately we don't have access to prescription information here. For more information about your prescriptions you'll need to speak with your local Rite Aid Pharmacist. To locate the contact details for your nearest store, please visit our Store Locator at your convenience: https://locations.riteaid.com/locations/search.html",,RxPharmacy Service
How can I check to see if my Rite Aid prescription is ready?,Prescriptions,,"For this case, we want to use the response in the response guide. To determine if your prescription is ready to be picked up, please contact your local Rite Aid store. For future prescription notifications, you may utilize our free Rx Reminder Service. You can receive reminders by email, text or phone when your prescriptions are due for a refill or are ready to be picked up. You may also sign up in-store or on-line at www.riteaid.com.",,RxPharmacy Service
"Can I call in, fax, or upload a new prescription to Rite Aid?",Prescriptions,,"New, paper prescriptions must be presented directly to the store for processing.",,RxPharmacy Service
Can someone else pick up my prescriptions at Rite Aid?,Prescriptions,,"We would recommend contacting your local Rite Aid store, as state laws for picking up prescriptions may vary. You may need to present ID in some cases. You can find the contact details for your local Rite Aid by visiting our Store Locator: https://www.riteaid.com/locations/search.html",,RxPharmacy Service
Does Rite Aid accept my insurance?,Prescriptions,,"To determine if Rite Aid is able to accept your insurance, please contact your insurance company directly for assistance, or check with your local Rite Aid Pharmacy. The insurance company should be able to provide you with a list of participating pharmacies in your area, or your local Rite Aid pharmacist may be familiar with the plan. (The phone number for the insurance company should be listed on the back of your insurance card.)",,RxPharmacy Service
How much will my prescription cost?,Prescriptions,,"Please contact your local Rite Aid store. Prices for prescriptions vary based upon insurance coverage, brand vs. generic, and multiple other factors.",,RxPharmacy Service
What is an Rx Score?,Prescriptions,,"The Rx Score is a Score that tracks how well you're taking your prescriptions. The goal is to achieve an Rx score of 100%. You can discuss this Score with your Pharmacist at your local Rite Aid Location. The information is shared only between the Pharmacist and you, and is not sold or shared with any other parties.",,RxPharmacy Service
How do I cancel or remove a prescription from my list that I no longer take?,,,"Once a medication is listed on your medication profile, it cannot be removed. You may contact your local Rite Aid pharmacist to cancel refills or mark the prescription as inactive.",,RxPharmacy Service
Who should get the flu vaccine?,Vaccines,,"Everyone 6 months and older should receive a yearly flu vaccine. The flu vaccine contains an inactivated flu virus. The flu vaccine causes your body to make antibodies that fight the flu, decreasing your risk of becoming sick with the flu. Since the virus in the vaccine is inactivated they cannot cause the flu. The flu vaccine is recommended annually, as immunity decreases over time. It takes about two weeks for the vaccine to be effective, so it is important to get the vaccine before the flu starts spreading in your area.",,RxPharmacy Service
I want to recognize my local Pharmacy Team!,Compliments,,"Please be sure to visit http://ritea.id/heroes to nominate a Pharmacy Team Member who has gone above and beyond! You could BOTH win $1,000 in Rite Aid Gift Cards!",,RxPharmacy Service
I had a great experience with my local Rite Aid Pharmacy Team!,Compliments,,"We're thrilled that you had such a great experience with your local Rite Aid Pharmacy Team! If you visit http://ritea.id/heroes, you can nominate them as a Pharmacy Hero, with a chance for you both to win $1,000.",,RxPharmacy Service
I had a great experience with my local Rite Aid Pharmacist!,Compliments,,"We're so happy that you had such a great experience with your local Rite Aid Pharmacist! If you visit http://ritea.id/heroes, you can nominate them as a Pharmacy Hero, with a chance for you both to win $1,000.",,RxPharmacy Service
I had a great experience with my local Rite Aid Pharmacy Tech!,Compliments,,"We're so happy that you had such a great experience with your local Rite Aid Pharmacy Tech! If you visit http://ritea.id/heroes, you can nominate them as a Pharmacy Hero, with a chance for you both to win $1,000.",,RxPharmacy Service
Why are we auto enrolling customers into ACR?,,,"ACR is a free tool that has been proven to improve customer experience and medication adherence. We want to leverage this tool to improve health outcomes for our customers, while also helping us better manage our workflow and inventory.",,RxPharmacy Service
How does ACR help manage workflow and inventory?,,,"ACR prescriptions are filled either during slower times in the pharmacy or remotely at a central fill location. This helps in redistributing workload so that pharmacy teams are able to better serve our customers. Also ACR scripts drop into the queue at least 2 days prior to the customer running out of their medication [based on their previous pick-up date], thereby giving pharmacy teams the opportunity to order the drug.  Lastly, ACR prescriptions requiring a prescriber approval for additional refills are proactively sent to the doctor’s office automatically thus avoiding a disruption in therapy. ",,RxPharmacy Service
Would enrolling many customers at the same time result in too many prescriptions being loaded into the queue at the same time?,,,"Prescriptions for eligible customers would drop into the queue only when the customers is ready for their next fill, based on when the prescription was last picked up and days supply. Auto Enrollment only helps reduce the gaps between refills",,RxPharmacy Service
"If a customer calls complaining about being enrolled into the program, how do we handle it?",,,We are doing this to better serve our customers by having prescriptions ready before it is due each time without having to call the pharmacy. ,,RxPharmacy Service
"If a customer is still not happy and would like to manage their medications themselves, are we allowed to dis-enroll them from the program?",,,"To unenroll in the ACR program, please contact your local Rite Aid Pharmacist for further assistance. Thank you!",,RxPharmacy Service
Can pharmacy teams still enroll other customers in the ACR program?,,,"To enroll in the ACR program, please contact your local Rite Aid Pharmcist for further assistance. Thank you!",,RxPharmacy Service
Is auto enrollment into ACR allowed by our state regulations?,,,Yes. Our legal/regulatory teams have validated that auto-enrollment is allowed for the customers for which we will be targeting.,,RxPharmacy Service
Customers fulfilling all the below criteria will be eligible for auto enrollment:,,,"•	18 years and older
•	Customers with Medicare-D or Commercial Insurance [no Medicaid customers]
•	2 or more 90 day fills in the last 365 days or 
•	2 or more 30-day fills in last 4 months or combination of 30/90 day fills
•	Average Copay of ACR Inclusion Drugs < $5
",,RxPharmacy Service
Customers meeting any of the below criteria will not be eligible for this auto enrollment:,,,"•	Customers that have filled via ACR process within last 365 days 
•	Customers with ACR preference currently activated in profile
•	Customers enrolled in OneTrip Refill
•	Customers with brand drugs on the ACR Inclusion list.  (Except for patients on a branded oral diabetic medication)
•	Customers with record of “Not Interested in ACR” action selected in Rite Care in the past 5 months
•	Customers covered by a Medicaid plan
•	Customers filling through Navitus PBM in 2022
",,RxPharmacy Service
Same day delivery fee,,,$7.99 fee charged to the customer,,RxPharmacy Service
When must my order be submitted?,,,"Must be created the same day of delivery, starting one hour after the opening of pharmacy business until two hours before the close of the pharmacy.",,RxPharmacy Service
Next day delivery fee,,,$4.99 fee charged to the customer,,RxPharmacy Service
When must my order be submitted?,,,"Orders must be created before midnight, for a future date ",,RxPharmacy Service
USPS mail,,,Free for the customer,,RxPharmacy Service
When must my order be submitted?,,,Orders must be placed before the close of pharmacy business to be included with the batch being picked up the next weekday by USPS.,,RxPharmacy Service
When will my order arrive via USPS?,,,Orders are expected to reach the customer within 2-5 days,,RxPharmacy Service
Packaging ,,,Medication will be packaged and sealed in the grey delivery bag.,,RxPharmacy Service
How are orders placed?,,,"Placed by the customer, through the Pay N’ Go link, or by the pharmacy team via NexGen.",,RxPharmacy Service
How can I get a job at Rite Aid,Employment,,"Thank you for your interest in Rite Aid! To learn more about employment opportunities at Rite Aid, apply for an open position, or engage in our Talent Network, please visit our Career site: riteaid.loop.jobs.",,Internal Associate Topics
I just submitted an application at your whitehall branch and I was wondering about where to find the required survey for the employment process? Thanks.,Employment,,We thank you for your interest in Rite Aid! Please select the link provided to complete the employment survey: www.careermapping.com/riteaid.,,Internal Associate Topics
I'm trying to apply but I'm experiencing an error and can't move forward with the application. What do I do?,Employment,,We're sorry you're having trouble with the application process. Please reach out to our Candidate Care team at 1-888-589-3697 or RiteAid@icareerhelp.com.They'll be able to help you with any issues you're having.,,Internal Associate Topics
"Associate reports poor treatment at work (not labor union issue) rude management, safety, etc.",Associate,,We would encourage you to please contact the internal associate RITE Call line at (888) 748-3225 to explain this issue in greater detail. Thank you!,"Try to provide this number is a PM/DM, if possible.",Internal Associate Topics
I called the RITE Call number but nothing has been done!,Associate,,It's good that you've contacted our internal complaint line to report this behavior. Our RITE Call team takes all complaints seriously. Here we handle customer concerns and aren't able to address associate concerns. I will notify the HR leader to make them aware of your feedback associated with the RITE Call complaint that was filed.,,Internal Associate Topics
Person calling on behalf of a family member/friend who works for Rite Aid about working conditions or poor treatment from other associates,Associate,,"If they haven't already, please encourage the associate to call our internal RITE Call associate line at #888-748-3225 to discuss this issue. ",,Internal Associate Topics
They called the RITE Call number but nothing has been done!,Associate,,It's good that the associate has contacted our internal complaint line to report this behavior. Our RITE Call team takes all complaints seriously. Here we handle customer concerns and aren't able to address associate concerns. I will however also notify the HR leader for that area to make them aware of your feedback associated with the RITE Call complaint that was filed.,,Internal Associate Topics
"I appreciate your professionalism and seriousness! It's awful especially THIS time of year and ANY time of year for this behavior to surface! Thank you again. I do look forward in hearing a resolution to be reached, in the very near future. Best to all for now. Happy Thanksgiving.",Associate,,"Certainly, and we completely understand. We encourage the associate who feels discriminated against or uncomfortable to continue to contact the Rite Call line. Thank you again, [Username].",,Internal Associate Topics
I cannot believe the store did not close today with this terrible weather! It would be safer for us to stay home.,,,"We try to keep our stores open for our customers. If you have a weather-related safety or scheduling issue to report connected to your location, please use the RITE CALL associate line at 888-748-3225.",,Internal Associate Topics
Will associates still receive the same discount as before?,Associate,,Rite Aid and Bartell’s associates will still receive their 20% discount on name brand items and 30% discount on Own Brands – in ADDITION to earning points for their purchases through Rite Aid Rewards!  ,Rite Aid Reward Points/BC cannot be earned or used at Bartell’s,Internal Associate Topics
What is MYtaxFORM?,Associate,,"MYtaxFORM is Rite Aid’s online service that provides convenient access to your current and three
previous W-2 statements. You can take advantage of this service totally FREE of charge IF
YOU REGISTER AND CONSENT to receive your W-2 statements online!
Associates can access MYtaxFORM through the HUB or via www.MYtaxFORM.com. ",,Internal Associate Topics
"Why should I consent to
receive my W-2 online?",Associate,,"Get it faster: Your W-2 will be available earlier than by mail.
• Never lose your W-2: Download a copy as many times as you want – anytime, anywhere.
• More secure: No important tax documents sent through the mail.
• Obtain a reissue – instantly: 24/7 access – anytime/anywhere
o Available via fax, mail or download a PDF
o Also accessible through phone or call center request",,Internal Associate Topics
"When can I consent to
receive online delivery
of my 2022 W-2?",Associate,,"You can consent to receive your 2022 W-2 online at any time. However, any election made after
December 31, 2022 will be regarded as consent for the next tax year. Withdrawal of your consent can
be done at any time.
Note: By consenting to online delivery by December 31, 2022, you will not receive a paper copy of
your original W-2 in the mail.",,Internal Associate Topics
"How do I consent to
receive my W-2 online?",Associate,,"To receive your W-2 online, simply access the MYtaxFORM.com website through the Hub or
www.MyTaxForm.com. Once logged in, click on Menu, My Account, Delivery Selections and follow
the prompts.",,Internal Associate Topics
"How will I access the
MYtaxFORM website?",Associate,,"Current Rite Aid associates can access the MYtaxFORM.com website through a link on the HUB or
at www.MyTaxForm.com. Former associates will have access only through www.MyTaxForm.com.",,Internal Associate Topics
"How do I log in to the
MYtaxFORM website?",Associate,,"Use the following steps to log in to MYtaxFORM:
 To log in from the HUB, first log into the HUB website (https://thehub.riteaid.com/assoc/).
1. Select the Payroll link.
2. Click the MYtaxFORM link.
3. The MYtaxFORM website will open. There is no need to log in again.

To log in from the store portal, first access and log in to the portal.
Click the MYtaxFORM link under Internet Links on the portal.
2. The MYtaxFORM website will open. There is no need to log in again.
To log in directly on the MYtaxFORM website (www.MyTaxForm.com), enter the following
information on the login page:
1. Either Rite Aid or the Rite Aid Employer Code: 70131
2. If this is your first time logging in to the site, click on the Register Now box to set up your log
in. If you have logged in previously, enter the User ID you previously created.
3. Enter the Password you previously created.
You may be prompted to input some personal information and receive a One-Time Passcode
to complete the login process ",,Internal Associate Topics
"Why do I need to input
personal information to
log in?",Associate,,"As part of the security features around MyTaxForm.com, new users and any users that have not
logged into the site within the past 60 days, are required to complete an authentication process as
part of the login. You will be asked to input information such as home address, home telephone
number, email address, date of birth, and last 4 digits of your SSN. Once this information is entered
and passes the authentication, you will be prompted to receive a One-Time Passcode (OTP) to your
email, cell phone, or home phone. Once you receive this OTP and input it into the site, you will be
prompted to update your Password and complete the login. ",,Internal Associate Topics
"When will my W-2 be
available online?",Associate,,"Your new W-2 will be posted on the secure web site in January of each year, well before you would
normally receive it in your mailbox. When you consent to receive your W-2 online, you will be
required to enter an email address. Once the W-2 is available online, you will receive an email
notification, along with instructions for retrieval.
Note: All emails from MYtaxFORM.com will have a subject line that reads, “IMPORTANT TAX
DOCUMENT.”",,Internal Associate Topics
"Do I have to consent to
receive online delivery
of my W-2 every year?",Associate,,"No, if you have previously consented to online delivery by Rite Aid, you will continue to receive your
W-2 online until you withdraw your consent.",,Internal Associate Topics
"Is my information
secure?",Associate,,"Yes! MYtaxFORM.com uses state-of-the-art security tools to safeguard your information and data.
The security features include:
• A Password, which you choose, is used to verify your identity.
• ‘Remember my computer.’ If you log in from a particular computer often, we can remember it
for you. This makes it easier to verify your identity in the future.
• One-Time Passcode. A one-time passcode sent to your email or phone at initial login or after 60
days of inactivity.",,Internal Associate Topics
"What languages are
available on the
MYtaxFORM website?",Associate,,"The only language currently available for the MYtaxFORM website and call center is English.
",,Internal Associate Topics
"Can I use MYtaxFORM
with tax software or tax
preparers?",Associate,,"Yes! MYtaxFORM.com works with all the leading tax preparation services: Turbo Tax®, Jackson
Hewitt®, CompleteTax®, Liberty Tax Service®, ezTaxReturn.com, H & R Block, 24 Hour Tax, and TaxAct",,Internal Associate Topics
"Can I get a duplicate
W-2 statement?",Associate,,"Yes! You can get a reprint of your W-2 using the MYtaxFORM.com website or call center.
 To request a duplicate W-2 online:
1. Log into MYtaxFORM through the HUB or the MYtaxFORM.com website.
2. In the RECENT TAX FORMS section of the main menu, select the checkbox for the appropriate
W-2 tax year or years you wish to view or send.
3. To view the selected W-2 statement(s), click the View button at the bottom of the section.
The selected W-2 statements will be displayed. You can use the up and down arrows at the
top center of the screen to scroll through the pages of the W-2 statement(s) or click the
arrow at the top right of the page to download the W-2 to your computer.
4. To send the selected W-2 statement(s) to a mailing address or fax number, click the Postal
Mail or Fax options instead of the View button.
Note: If you would like to have your duplicate W-2 statement mailed to an address other
than the address on your original W-2, click the Postal Mail button on the main menu after
selecting the W-2(s) you want, and you will have the option to edit your mailing address.
5. To request a duplicate W-2 through the call center, call 1-800-694-3729.",,Internal Associate Topics
"If I leave Rite Aid how
do I get my W-2?",Associate,,"Associates no longer employed by Rite Aid can still get their W-2s through the MYtaxFORM website
(www.MyTaxForm.com) or the call center (1-800-694-3729). If a former associate had consented
previously, they will still be able to access their W-2 online. However, a paper form will also be mailed
to their home address on record.",,Internal Associate Topics
Is there a charge to request a duplicate W-2?,Associate,,"If you have consented to receive your W-2 electronically, there is no charge. However, if you have not
consented to electronic receipt, there is a $12 charge to reprint the most recent W-2. There is a
charge of $18 for older years if you have not consented to electronic receipt of future W-2s.",,Internal Associate Topics
"For which tax year(s)
can I obtain a duplicate
W-2 statement?",Associate,,"Copies of your W-2s for the prior four years are now available on the MYtaxFORM.com website. If
an associate consents for future electronic delivery, there are no fees to obtain reprints. However,
if an associate does not consent to electronic delivery, there is a $12 fee for the most recent W-2 and
an $18 fee for each of the previous year W-2s. ",,Internal Associate Topics
"Can I check the status of
a request for a
duplicate W-2
statement?",Associate,,"Yes! You will receive a confirmation number to check the status of your request. You can check the
status of your request by revisiting MYtaxFORM.com and selecting “My Account” from the Main
Menu and then selecting “Activity.”",,Internal Associate Topics
"How do I report an
error on my W-2?",Associate,,"Associates have three options for reporting W-2 errors to the Payroll Department:
• Complete the eForm Payroll – W2 Reprint and Questions
• Send an email to taxw2rq@riteaid.com
• Call the automated phone line at 1-717-214-8887",,Internal Associate Topics
"Do I need a corrected
W-2 (W-2C) if the
address on my W-2 is
incorrect?",Associate,,"Address changes do not require a W-2 correction. Simply request to receive a duplicate W-2 by Postal
Mail and then follow the menu options to select a different address.",,Internal Associate Topics
What if I have questions?,Associate,,"Please visit www.mytaxform.com or call the customer service telephone number for MYtaxFORM at
1-800-694-3729.",,Internal Associate Topics
I am trying to connect with customer care via chat and even though your hours state your available it says offline!!,Care Center,Live Chat Unavailable,"We apologize that our Live Chat option is currently unavailable. There are several ways to contact Rite Aid's Customer Care Center to share your feedback or to notify us of a concern. We can help you here via social media, you can email us by visiting our website (Riteaid.com), or you can call 1-800-RITE AID (1-800-748-3243) to speak with a live representative.",,Crisis Issues
How do I speak to someone over the phone. I don't trust Twitter or FB.,Care Center,Phone,"You can speak with a Rite Aid Customer Care Representative at 1-800-RITE AID (1-800-748-3243). Representatives are available Monday-Friday, 8am - 8pm (EST), and Saturday, 9:30am - 6pm ET (EST). The Care Center is Closed on Sunday.",,Crisis Issues
"Situation of racist, sexist, or other discriminatory behavior.",Store Incident,Discrimination or very poor treatment,"Rite Aid takes this situation very seriously and our first priority is the health and safety of our communities, our customers, and our associates. We appreciate your reaching out. We've informed our leadership of your concern regarding this store. If you'd like to DM us your information we can follow up.",,Crisis Issues
"I was attacked or discriminated against by an associate; 
",Store Incident,Discrimination or very poor treatment,"Thank you very much for reaching out to us, [Username]. Rite Aid is committed to fostering a safe and caring environment for all associates and customers. We appreciate the information you provided and pledge to promptly look into your concerns.",,Crisis Issues
I experienced discriminatory treatment at Rite Aid; I was accused of shoplifting at Rite Aid,,,"Thank you for reaching out, [Username]. Rite Aid is committed to fostering a safe and caring environment for all of our customers. We appreciate the information you provided and pledge to promptly look into your concerns.",,Crisis Issues
I saw someone make a threat/witnessed violent activity at Rite-Aid,Security,Threats,"Thank you very much for making us aware of this, [Username]. We appreciate your concern and will notify the proper authorities.",,Crisis Issues
I saw someone make a threat/witnessed violent activity at Rite-Aid,Security,Threats,"Thank you very much for making us aware of this, [Username]. We are taking this very seriously and will notify the proper authorities. ",,Crisis Issues
Threat towards Rite-Aid on social media,Security,Threats,Escalate to client contact immediately,,Crisis Issues
Issues stemming from staffing shortage/supply chain issues,Staffing Shortage Issues,Complaint,We completely understand your frustration and apologize for [specific issue]. The leader is looking into your concern and will be reaching out to you about this with the best solution. ,,Crisis Issues
Issues stemming from staffing shortage/supply chain issues,Staffing Shortage Issues,Complaint,Our leaders want to make sure they have all of the relevant information before reaching out so that they're able to provide the best solution. We sincerely appreciate your patience. ,,Crisis Issues
Issues stemming from staffing shortage/supply chain issues,Staffing Shortage Issues,Complaint,We apologize for the delay. Responses are taking a little more time. Our leaders are carefully reviewing your concern and will be following up with you as soon as possible. ,,Crisis Issues
Issues stemming from staffing shortage/supply chain issues,Staffing Shortage Issues,Complaint,"We sincerely apologize for any frustration, [cx name]. Our Leadership Team is thoroughly reviewing your concern and they will be reaching out with the best way to address your concerns. ",,Crisis Issues
Issues stemming from staffing shortage/supply chain issues,Staffing Shortage Issues,Complaint,"We completely understand your frustration! Follow up is taking a little longer than usual, and we sincerely apologize for the delay. Our leaders are carefully reviewing your concern and will be following up with you as soon as possible. ",,Crisis Issues
Part time availability?,,,There are both part-time and full-time in-store opportunities are available.,,KF Recruiting Program
Remote opportunities?,,,Currently Rite Aid offers in-store opportunities only.,,KF Recruiting Program
Flexible scheduling?,,,"Great question! Rite Aid offers flexible scheduling including shifts on weekdays, weekends, evening shifts, and some holidays.",,KF Recruiting Program
Does RA offer health insurance?,,,"Rite Aid offers medical, supplemental medical, dental, and vision health care options, as well as FSA and life insurance",,KF Recruiting Program
PTO?,,,"Rite Aid offers 6 paid holidays annually as well as paid time off, at no cost to the employer",,KF Recruiting Program
Short-term/Long-term disability?,,,"STD: 60% of base pay for up to 26 weeks at no cost to the employer; LTD: 60% of base pay after 26 weeks of disability up to a $20,000 monthly max. – cost upon enrollment",,KF Recruiting Program
Does Rite Aid offer any retirement plans?,,,"Voluntary Pre-Tax contributions and after 1 year of service and 1,000 hours, the Company will match up to 4% of your compensation (based on your contribution)",,KF Recruiting Program
Do employees get any store discounts?,,,"20% discount on most items at any Rite Aid store, discounted auto, homeowners, pet insurance, vehicle purchase, fitness membership, PerksCard, and more",,KF Recruiting Program
Does Rite Aid offer any financial aid for school?,,,Tuition reimbursement is offered for undergraduate and graduate degrees based on credit hours ,,KF Recruiting Program
Are PT employees eligible for benefits?,,,Part-time associates are eligible for select voluntary benefit offerings but may not enroll with health insurance until they have completed 1 year of employment,,KF Recruiting Program
Does my coverage begin immediately?,,,Your effective date for most benefits is the first day of the month following 2 months of service,,KF Recruiting Program
Does Rite Aid support/allow union members,,,Rite Aid supports union membership.,,KF Recruiting Program
Will you sponsor employment visas?,,,"At this time, Rite Aid does not sponsor employment visas of any kind.",,KF Recruiting Program
Do I need a college degree?,,,"A high school diploma or GED plus one year of experience in customer service-related business or retail, or an Associate's degree (AA) or, an equivalent combination of education and experience (this is position dependent).",,KF Recruiting Program
Do I need a HS diploma/GED cert?,,,"A high school diploma or GED plus one year of experience in customer service-related business or retail, or an Associate's degree (AA) or, an equivalent combination of education and experience (this is position dependent).",,KF Recruiting Program
Does Rite Aid require a background check? ,,,"Yes, a background check is required.",,KF Recruiting Program
Does Rite Aid require a drug screening?,,,"Yes, a drug screening is required.",,KF Recruiting Program
What is/Is there a minimum age requirement?D) Will there be a lot of movement/lifting?,,,18 years old (16 in [ ] states) ,,KF Recruiting Program
What are the physical requirements?,,,"As part of our in-store team, you frequently bend, push, pull, stand, walk, reach, and lift/ carry up to 50 lbs. on occasion",,KF Recruiting Program
Can I apply in person? ,,,"Yes, you can absolutely apply in person at any Rite Aid location.",,KF Recruiting Program
Do you take walk in applications?,,,Rite Aid will certainly accept walk-ins.,,KF Recruiting Program
How do I/ where can I apply?,,,"If you're interested in a career at Rite Aid, please visit riteaid.loop.jobs",,KF Recruiting Program
Where is the closest Rite Aid to me?,,,"To find the most convenient Rite Aid store to you, please visit: https://www.riteaid.com/locations/search.html",,KF Recruiting Program
What if I require workplace accommodations?,,,"If you require a workplace accommodation, please contact our Candidate Care Center at 1-888-589-3697 or email us at RiteAid@icareerhelp.com",,KF Recruiting Program
Job Description: Asset Protection,,,Asset Protection is responsible for protecting company and store assets by enforcing loss prevention policies and providing friendly customer service. You will help to prevent internal and external (shoplifting/theft) losses by coaching and providing feedback to store associates on executing internal controls and creating/ executing external theft strategies and tactics. ,,KF Recruiting Program
Store Manager,,,"As a Store Manager, you will provide leadership and development for associates by communicating  performance feedback and demonstrate Rite Aid Experience behaviors to both external and internal customers and associates. You will also enforce company policies  while ensuring directives and all daily activities deliver against the expected operating standards, merchandising programming, and budgeted financial targets. This position promotes and drives customer service. You will also be responsible to interview, hire, train, direct, reward and discipline associates. This is a full-time role.",,KF Recruiting Program
Asst. Store Manager,,,"As an Assistant Store Manager, you will assist the Store Manager with the daily operation of the retail store. You will lead associates through the execution of company business plans/ objectives to drive sales and provide a superior customer and associate experience. ",,KF Recruiting Program
Store Manager Trainee,,,"As a Store Manager Trainee, you learn all aspects of operating a retail store! You will participate in a Management Development Program and learn about all the possible situations that can occur in a retail store. You will assist the Store Manager with the day-to-day operation of the store and complete duties in their absence.",,KF Recruiting Program
Shift Supervisor,,,"As a Shift Supervisor, you'll be responsible for providing direction and assistance in the completion of daily merchandise and operating tasks and performing such other duties as assigned by the Store Manager and/or Assistant Store Manager, such as, handling escalations and ensuring customer service. This is a full-time hourly role.",,KF Recruiting Program
Beauty Ambassador,,,"As a Beauty Ambassador, you will provide an exceptional customer experience by assisting customers with their beauty goals and concerns, recommending products, and helping them to experiment with different beauty products. You will help customers bridge the in-store and online beauty experience so that they engage with Rite Aid both in stores and digitally.",,KF Recruiting Program
Cashier,,,"As a cashier, you will deliver excellent customer service by enhancing the shopping experience. You will quickly and accurately complete customer transactions on the Point of Sale (POS) System, stock shelves as needed, and help build merchandise displays. We are proud to offer our community a safe shopping experience. You will assist with cleaning and sanitization efforts to meet these high brand standards.",,KF Recruiting Program
CCR,,,"As a Customer Care Representative, you will be responsible for answering and responding to calls and emails while providing timely, knowledgeable, and courteous resolution and response to pharmacy, member, and product-related inquiries",,KF Recruiting Program
Clerk,,,"As a Clerk, you will sort, process, and adjust store returns back into inventory. You will interact with vendors to arrange the return of recalled, discontinued, damaged, and outdated merchandise.",,KF Recruiting Program
